time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
28.569456,0.122586,0.070288,0.035547,4,0,1
28.604155,0.111558,0.012614,-0.038407,4,0,1
28.638884,0.187813,-0.068354,0.062395,4,0,1
28.668608,0.152054,-0.003907,0.164527,4,0,1
28.703306,-0.064734,-0.004223,0.082799,4,0,1
28.738005,-0.034144,0.045946,0.035485,4,0,1
28.772703,0.019013,0.089894,-0.008712,4,0,1
28.802458,-0.026337,0.076917,0.024549,4,0,1
28.837156,-0.016825,0.027753,-0.066632,4,0,1
28.871855,-0.04526,-0.007892,0.150511,4,0,1
28.906553,-0.030293,-0.197505,-0.00807,4,0,1
28.936308,0.064011,-0.340963,-0.330895,4,0,1
28.970976,0.25402,-0.076237,0.03272,4,0,1
29.005705,0.199929,-0.1129,0.238654,4,0,1
29.03546,0.080534,-0.031928,0.261923,4,0,1
29.070114,-0.319204,0.293327,0.334847,4,0,1
29.104843,-0.504679,0.255719,0.29605,4,0,1
29.139511,-0.530956,0.556413,0.32366,4,0,1
29.169266,-0.435593,0.675574,0.15586,4,0,1
29.203965,-0.302163,0.329387,-0.13233,4,0,1
29.238663,-0.093936,0.428689,-0.348699,4,0,1
29.273362,0.326702,0.163863,-0.51314,4,0,1
29.303116,0.774558,-0.628056,-0.68046,4,0,1
29.337815,1.207488,-0.954238,-0.321057,4,0,1
29.372513,0.93216,-2.014891,-0.34563,4,0,1
29.402268,0.938715,-1.782854,-0.462436,4,0,1
29.436936,1.331827,-0.431747,-0.572794,4,0,1
29.471665,1.229596,-0.584892,-1.136033,4,0,1
29.506333,1.394911,-0.818352,-1.683195,4,0,1
29.536087,1.648852,-0.610634,-1.601376,4,0,1
29.570816,1.684532,0.125832,-1.206214,4,0,1
29.605484,0.732687,0.898827,-0.726536,4,0,1
29.635239,-0.161919,1.238673,-0.621856,4,0,1
29.669937,-0.6693,0.884424,-0.940372,4,0,1
29.704636,-0.044737,-0.109598,-1.204109,4,0,1
29.739334,0.505967,-0.391898,-1.086408,4,0,1
29.769089,0.619493,-0.335965,-0.702194,4,0,1
29.803788,0.14891,-0.747676,-0.076751,4,0,1
29.838486,-0.432545,-0.422499,0.185079,4,0,1
29.873185,-0.848,0.279707,0.523589,4,0,1
29.902909,-0.803315,0.227421,0.260548,4,0,1
29.937638,-0.452293,0.23438,0.231435,4,0,1
29.972306,0.740842,-0.325428,0.670119,4,0,1
30.00206,1.271676,-0.7751,0.774947,4,0,1
30.036789,1.156315,-0.379817,0.248173,5,1,1
30.071441,1.747464,-0.273977,1.023672,5,1,1
30.101196,3.643658,0.39522,1.489459,5,1,1
30.135894,3.331768,-1.849027,1.382577,5,1,1
30.170593,5.199082,-2.666895,2.104771,5,1,1
30.205291,-0.278042,-2.382375,-2.143317,5,1,1
30.23999,-3.585146,1.978734,-2.299125,5,1,1
30.269744,-2.448169,2.113228,-1.430098,5,1,1
30.304443,-2.319959,1.16262,-1.210327,5,1,1
30.339141,-1.31269,0.233054,-0.305983,5,1,1
30.368866,-1.150297,-0.118231,0.12228,5,1,1
