time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success
46.393688,0.727259,-0.46161,-0.276234,7,0
46.428386,0.955309,-0.30067,-0.589831,7,0
46.463085,0.844624,-0.058192,-0.306365,7,0
46.497814,-0.273217,0.026913,0.033734,7,0
46.527538,-0.673287,-0.295492,-0.453842,7,0
46.562236,0.025685,0.150151,-0.281773,7,0
46.596965,0.803271,0.286042,-0.497712,7,0
46.631633,0.897066,0.415546,-0.404642,7,0
46.661388,0.078468,-0.147811,-0.276247,7,0
46.69608,-0.948119,0.172622,-0.068925,7,0
46.730748,-0.361791,0.099064,-0.147406,7,0
46.760503,0.163865,0.194817,-0.180626,7,0
46.795232,0.482198,-0.120967,-0.457043,7,0
46.8299,0.484449,-0.098446,-0.345038,7,0
46.864629,-0.255136,-0.276454,-0.360258,7,0
46.894383,-0.733822,-0.081363,-0.045587,7,0
46.929051,-0.162849,-0.225173,-0.281484,7,0
46.96378,0.544458,0.015613,-0.215292,7,0
46.998448,0.470074,0.07889,-0.457232,7,0
47.028203,0.484285,0.228002,-0.409914,7,0
47.062932,0.219399,0.06451,-0.292812,7,0
47.0976,-0.059247,0.326886,-0.236218,7,0
47.127354,-0.687081,0.08477,-0.2527,7,0
47.162083,-0.251582,-0.260858,-0.165115,7,0
47.196751,0.305155,0.109134,-0.202697,7,0
47.226506,0.266302,0.011582,-0.163781,7,0
47.261235,-0.041064,0.109006,-0.063459,7,0
47.295903,-0.364617,0.024941,0.131183,7,0
47.330632,-0.595376,0.131686,-0.111933,7,0
47.36533,-0.503089,0.202001,-0.29012,7,0
47.395055,-0.436662,-0.00468,-0.396249,7,0
47.429784,0.19047,-0.133459,-0.622163,7,0
47.464482,0.544853,-0.300407,-0.436598,7,0
47.494206,0.683073,-0.245632,-0.16115,7,0
47.528935,0.654767,-0.044194,-0.035636,7,0
47.563634,0.462545,0.015853,-0.041419,7,0
47.593358,0.233834,-0.107678,-0.161257,7,0
47.628087,0.384432,-0.195536,-0.29407,7,0
47.662785,0.460746,-0.151799,-0.192336,7,0
47.697467,0.262874,0.068249,-0.119612,7,0
47.732165,0.202502,0.267466,-0.104434,7,0
47.76192,-0.079692,0.313279,-0.109157,7,0
47.796618,-0.549701,0.299004,-0.24664,7,0
47.831317,-0.885766,0.474741,-0.325639,7,0
47.861041,-0.906538,0.342174,-0.389171,7,0
47.89577,-0.434896,0.227567,-0.328865,7,0
47.930468,-0.147308,0.133729,-0.245546,7,0
47.960193,0.07796,-0.064814,-0.266157,7,0
47.994922,0.102243,-0.262957,-0.248696,7,0
48.02962,0.174711,-0.17726,-0.110702,7,0
48.064319,-0.033671,-0.111896,-0.126532,7,0
48.094073,0.016072,-0.162101,0.016921,7,0
48.128772,0.091137,-0.213332,0.160688,7,0
48.16347,-0.140708,-0.148067,0.176637,7,0
48.198169,-0.195115,-0.176505,-0.087052,7,0
48.227923,-0.074561,-0.236063,0.108943,7,0
48.262622,-0.368679,-0.139469,0.118221,7,0
48.29732,-0.349342,0.052927,0.03597,7,0
48.327075,-0.32667,0.097297,0.059358,7,0
48.361773,-0.444497,0.131132,-0.27759,7,0
