time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn,Success
9.865634,-6.871222,-1.359808,-6.863999,2,0
9.895633,-7.590783,0.939095,-6.138026,2,0
9.930667,-7.088237,3.094015,-6.030027,2,0
9.965671,-5.426915,3.192044,-7.519089,2,0
9.99567,-4.567537,2.842566,-8.199675,2,0
10.030674,-5.121647,1.922295,-8.139457,2,0
10.065677,-5.88464,1.006038,-7.780498,2,0
10.095706,-6.358369,0.245175,-7.462458,2,0
10.13071,-6.643309,-0.643653,-7.18536,2,0
10.165714,-6.777362,-1.540111,-6.919009,2,0
10.195713,-6.739506,-2.298489,-6.743386,2,0
10.230716,-6.451583,-3.103571,-6.702401,2,0
10.26572,-5.880722,-3.974263,-6.76754,2,0
10.295749,-5.233223,-4.670263,-6.854142,2,0
10.330753,-4.435063,-5.330586,-6.934863,2,0
10.365757,-3.628814,-5.898312,-6.943981,2,0
10.395755,-3.045508,-6.242833,-6.923089,2,0
10.430759,-2.401236,-6.639168,-6.806817,2,0
10.465763,-1.891518,-6.988232,-6.615438,2,0
10.495792,-1.527995,-7.250598,-6.424276,2,0
10.530796,-1.154867,-7.498581,-6.214082,2,0
10.565799,-0.782512,-7.744183,-5.96595,2,0
10.600803,-0.38596,-7.98136,-5.685612,2,0
10.630802,-0.12132,-8.162626,-5.434526,2,0
10.665836,0.013384,-8.355618,-5.134268,2,0
10.695836,0.030187,-8.51048,-4.873199,2,0
10.730839,-0.018135,-8.673323,-4.577159,2,0
10.765843,-0.115451,-8.802909,-4.321193,2,0
10.795842,-0.201103,-8.883632,-4.149444,2,0
10.830876,-0.285605,-8.93287,-4.037265,2,0
10.86588,-0.336569,-8.931855,-4.035584,2,0
10.895878,-0.264409,-8.901207,-4.108022,2,0
10.930882,-0.254202,-8.875497,-4.163916,2,0
10.965886,-0.360463,-8.862073,-4.184611,2,0
10.995915,-0.309092,-8.869157,-4.173698,2,0
11.030919,-0.413254,-8.877173,-4.147563,2,0
11.065922,-0.59091,-8.901499,-4.073253,2,0
11.095921,-0.785999,-8.937876,-3.95902,2,0
11.130925,-0.944442,-9.007857,-3.760824,2,0
11.165928,-1.00777,-9.087456,-3.5468,2,0
11.195958,-0.989874,-9.147106,-3.395269,2,0
11.230961,-0.889982,-9.204915,-3.264157,2,0
11.265965,-0.725695,-9.2579,-3.153078,2,0
11.295964,-0.560687,-9.301988,-3.055468,2,0
11.330967,-0.384844,-9.344274,-2.951896,2,0
11.366002,-0.216855,-9.37576,-2.867987,2,0
11.396,-0.055356,-9.394066,-2.815263,2,0
11.431004,0.157662,-9.407647,-2.765606,2,0
11.466008,0.338379,-9.414043,-2.727369,2,0
11.496007,0.490501,-9.411277,-2.713765,2,0
11.531041,0.637247,-9.40626,-2.700637,2,0
11.566044,0.727754,-9.408786,-2.668779,2,0
11.596043,0.767885,-9.420268,-2.616517,2,0
11.631047,0.640719,-9.461594,-2.498993,2,0
11.666051,0.614633,-9.491141,-2.391175,2,0
11.701022,0.637018,-9.51633,-2.282743,2,0
11.731051,0.631493,-9.541304,-2.177612,2,0
11.766055,0.654702,-9.564839,-2.064575,2,0
11.796054,0.633824,-9.590223,-1.950163,2,0
11.831058,0.624825,-9.614741,-1.828552,2,0
11.866061,0.616317,-9.633989,-1.727326,2,0
11.896091,0.600266,-9.649737,-1.643017,2,0
11.931094,0.55745,-9.667694,-1.549902,2,0
11.966098,0.507444,-9.684283,-1.460959,2,0
11.996097,0.467688,-9.697382,-1.385384,2,0
12.0311,0.421491,-9.710622,-1.305147,2,0
12.066104,0.394339,-9.720496,-1.238428,2,0
12.096133,0.370411,-9.725653,-1.204869,2,0
12.131137,0.369127,-9.72691,-1.195079,2,0
12.166141,0.366832,-9.726698,-1.197508,2,0
12.196139,0.374239,-9.728157,-1.183283,2,0
12.231143,0.394451,-9.729119,-1.168719,2,0
12.266177,0.431718,-9.730371,-1.144877,2,0
12.296176,0.487542,-9.735705,-1.074989,2,0
12.33118,0.551848,-9.741585,-0.987036,2,0
12.366183,0.6483,-9.742292,-0.919075,2,0
12.396182,0.674587,-9.74131,-0.910526,2,0
12.431216,0.702968,-9.741332,-0.888552,2,0
12.46622,0.7422,-9.742868,-0.838398,2,0
12.496219,0.788869,-9.744037,-0.780181,2,0
12.531222,0.891853,-9.741021,-0.703108,2,0
12.566226,1.000608,-9.733584,-0.658302,2,0
12.596255,1.080824,-9.723333,-0.682535,2,0
12.631259,1.161588,-9.709966,-0.73791,2,0
12.666263,1.219363,-9.698922,-0.788236,2,0
12.696251,1.225379,-9.694289,-0.834538,2,0
12.731255,1.191974,-9.693237,-0.893089,2,0
12.766259,1.123768,-9.695956,-0.950179,2,0
12.801293,1.039954,-9.699632,-1.006417,2,0
12.831292,0.96782,-9.701437,-1.059566,2,0
12.866295,0.889853,-9.703548,-1.107501,2,0
12.896294,0.821443,-9.705807,-1.140086,2,0
12.931298,0.735148,-9.709348,-1.16849,2,0
12.966332,0.62853,-9.714726,-1.185875,2,0
12.996331,0.569862,-9.717516,-1.192638,2,0
13.031334,0.523558,-9.721244,-1.183449,2,0
13.066338,0.526544,-9.720224,-1.190479,2,0
13.096337,0.551227,-9.720385,-1.177927,2,0
13.131371,0.637751,-9.717701,-1.156204,2,0
13.166375,0.746343,-9.715563,-1.108172,2,0
13.196373,0.846641,-9.715124,-1.037699,2,0
13.231377,0.961804,-9.712007,-0.963902,2,0
13.266381,1.081825,-9.707088,-0.882813,2,0
13.29638,1.159264,-9.704159,-0.814033,2,0
13.331414,1.255083,-9.698891,-0.730438,2,0
13.366417,1.307412,-9.696016,-0.674674,2,0
13.396416,1.297686,-9.698706,-0.654497,2,0
13.43142,1.239262,-9.707022,-0.644357,2,0
13.466424,1.217157,-9.710931,-0.627372,2,0
13.496453,1.21986,-9.711074,-0.619874,2,0
13.531456,1.216883,-9.71111,-0.625119,2,0
13.56646,1.208798,-9.711982,-0.627263,2,0
13.596459,1.19422,-9.713305,-0.634664,2,0
13.631463,1.127349,-9.717899,-0.684662,2,0
13.666466,1.126013,-9.714165,-0.737793,2,0
13.696482,1.133177,-9.707637,-0.809286,2,0
13.731485,1.169273,-9.696943,-0.882804,2,0
13.766489,1.213626,-9.683585,-0.965682,2,0
13.796488,1.23522,-9.673052,-1.040934,2,0
13.831491,1.21466,-9.666122,-1.126029,2,0
13.866526,1.164959,-9.66194,-1.211209,2,0
13.901529,1.106018,-9.658241,-1.293193,2,0
13.931528,1.045555,-9.656597,-1.354326,2,0
13.966532,0.981396,-9.652234,-1.431254,2,0
13.99653,0.918921,-9.646724,-1.507826,2,0
14.031565,0.85633,-9.637959,-1.59803,2,0
14.066568,0.792696,-9.626279,-1.698125,2,0
14.096567,0.712638,-9.61571,-1.790956,2,0
14.131571,0.607335,-9.602183,-1.899072,2,0
14.166574,0.482506,-9.588441,-2.00156,2,0
14.196604,0.367881,-9.574748,-2.089525,2,0
14.231607,0.251643,-9.551157,-2.211181,2,0
14.266611,0.140884,-9.521019,-2.346825,2,0
14.29661,0.068179,-9.492804,-2.461558,2,0
14.331613,0.011138,-9.463194,-2.573924,2,0
14.366617,-0.048113,-9.434588,-2.676469,2,0
14.396646,-0.113315,-9.41149,-2.754681,2,0
14.43165,-0.202234,-9.38619,-2.834746,2,0
14.466654,-0.309477,-9.363463,-2.899488,2,0
14.496652,-0.440572,-9.341641,-2.952437,2,0
14.531656,-0.581097,-9.325651,-2.978557,2,0
14.56669,-0.706662,-9.307392,-3.008378,2,0
14.596689,-0.797155,-9.293899,-3.027413,2,0
14.631693,-0.877091,-9.278171,-3.053442,2,0
14.666696,-0.937396,-9.267881,-3.066745,2,0
14.6967,-1.034649,-9.250582,-3.087635,2,0
14.731734,-1.15297,-9.238424,-3.082115,2,0
14.766738,-1.30204,-9.229023,-3.05075,2,0
14.796737,-1.424817,-9.228746,-2.996231,2,0
14.83174,-1.509344,-9.241607,-2.914075,2,0
14.866744,-1.527333,-9.262869,-2.836152,2,0
14.896743,-1.507519,-9.285495,-2.772043,2,0
14.931777,-1.466077,-9.310112,-2.71103,2,0
14.966781,-1.407023,-9.330834,-2.670781,2,0
15.001784,-1.338838,-9.351606,-2.632913,2,0
15.031783,-1.294398,-9.371073,-2.585494,2,0
15.066787,-1.236776,-9.389282,-2.547357,2,0
15.096816,-1.193555,-9.404919,-2.510013,2,0
15.13182,-1.158605,-9.422641,-2.459414,2,0
15.166823,-1.134219,-9.441048,-2.399459,2,0
15.196822,-1.107989,-9.45497,-2.356512,2,0
15.231826,-1.079424,-9.47245,-2.298867,2,0
15.26683,-1.044251,-9.493652,-2.226512,2,0
15.296859,-1.001906,-9.510391,-2.173912,2,0
15.331863,-0.954002,-9.53085,-2.104764,2,0
15.366866,-0.922339,-9.541853,-2.068717,2,0
15.396865,-0.905064,-9.55238,-2.027351,2,0
15.431869,-0.928335,-9.560179,-1.9795,2,0
15.466903,-0.987384,-9.568066,-1.91166,2,0
15.496902,-1.059148,-9.57436,-1.840403,2,0
15.531905,-1.146851,-9.575921,-1.778682,2,0
15.566909,-1.2345,-9.568028,-1.762413,2,0
15.596908,-1.323068,-9.551719,-1.786451,2,0
15.631942,-1.439046,-9.525424,-1.83649,2,0
15.666946,-1.586011,-9.49092,-1.893212,2,0
15.696922,-1.719454,-9.458354,-1.939139,2,0
15.731926,-1.844138,-9.427397,-1.974991,2,0
15.76693,-1.886949,-9.412158,-2.006976,2,0
15.796959,-1.836654,-9.415706,-2.036771,2,0
15.831963,-1.652928,-9.439178,-2.084945,2,0
15.866966,-1.275428,-9.473516,-2.19158,2,0
15.896965,-0.808461,-9.518565,-2.218235,2,0
15.931969,-0.181483,-9.551975,-2.214516,2,0
15.966972,0.450534,-9.553867,-2.167465,2,0
15.997002,1.038843,-9.534073,-2.04927,2,0
16.032005,1.54478,-9.493219,-1.915644,2,0
16.067009,1.917837,-9.442096,-1.829203,2,0
16.097008,2.189141,-9.392546,-1.779045,2,0
16.132011,2.512728,-9.314046,-1.764087,2,0
16.167046,2.802775,-9.231313,-1.761975,2,0
16.197044,2.991597,-9.183665,-1.699377,2,0
16.232048,3.124152,-9.162598,-1.569623,2,0
16.267052,3.12342,-9.177333,-1.48258,2,0
16.29705,3.048922,-9.205576,-1.462424,2,0
16.332054,2.904503,-9.247737,-1.490126,2,0
16.367088,2.740617,-9.282621,-1.580888,2,0
16.397087,2.578109,-9.305928,-1.711814,2,0
16.432091,2.346693,-9.323661,-1.933809,2,0
16.467094,2.078571,-9.328208,-2.200302,2,0
16.497093,1.813512,-9.324864,-2.436255,2,0
16.532127,1.488777,-9.304426,-2.71817,3,0
16.567131,1.167555,-9.262331,-3.003879,3,0
16.59713,0.903615,-9.197953,-3.279998,3,0
16.632134,0.646704,-9.09645,-3.60744,3,0
16.667137,0.470752,-8.973614,-3.92809,3,0
16.697153,0.411595,-8.860471,-4.183288,3,0
16.732157,0.41948,-8.741785,-4.42521,3,0
16.767161,0.397943,-8.642928,-4.617217,3,0
16.79716,0.15658,-8.568391,-4.768165,3,0
16.832163,-0.39368,-8.458984,-4.9465,3,0
16.867167,-1.165208,-8.31006,-5.075672,3,0
16.897196,-1.885901,-8.139456,-5.135162,3,0
16.9322,-2.708649,-7.886349,-5.161974,3,0
16.967204,-3.506187,-7.582647,-5.136864,3,0
16.997202,-4.153918,-7.299279,-5.063866,3,0
17.032206,-4.830176,-6.941992,-4.96542,3,0
17.06724,-5.322273,-6.608086,-4.917709,3,0
17.097239,-5.627066,-6.360681,-4.904601,3,0
17.132243,-5.930427,-6.112465,-4.862617,3,0
17.162241,-6.168394,-5.949212,-4.768127,3,0
17.197245,-6.413245,-5.824333,-4.596161,3,0
17.232279,-6.526798,-5.76854,-4.505786,3,0
17.267283,-6.440131,-5.816958,-4.567819,3,0
17.297282,-6.32008,-5.931714,-4.587877,3,0
17.332285,-6.188031,-6.058011,-4.602828,3,0
